Step Num,Acheived Avg Vin,pk-pk ripple Vin,Avg Iin,pk-pk ripple Iin,power_mosfet_losses,power_diode_losses,aux_mosfet_losses,aux_diode_losses,Pin,Pout,Eff,SWFREQ,DEADTIME,Lr,Cr,Ii,target_vin,solar_voc,Vout,Illum
13,49.2016595069723,0.666912078857422,5.24040017935053,0.043724536895752,1.54062320409243,1.54117660185626,0.394821147722469,0.234878714857323,257.832601499346,254.442091164085,0.986849954910492,80k,20n,10u,0.5n,5,50,60,120,900
14,39.1990726775814,0.606029510498047,5.34202158993339,0.022956371307373,1.56034425222425,1.23903871668484,0.403253714670321,0.220741352711145,209.400529714315,206.899430050154,0.988055905744012,80k,20n,10u,0.5n,5,40,50,120,900
15,29.2539759980754,0.536392211914062,5.40471731357808,0.00892114639282227,1.58451640368559,0.92083148426479,0.418802662884546,0.212772679188112,158.108944214014,156.602868488196,0.990474443218224,80k,20n,10u,0.5n,5,30,40,120,900
16,68.9107112285468,0.745269775390625,4.98630602522058,0.0837798118591309,1.67650672974999,1.82455733401505,0.443264574400166,0.34764451440487,343.601610896093,339.044899908997,0.986738388754312,80k,20n,10u,0.5n,5,70,80,130,900
17,59.0111168426286,0.742565155029297,5.12481216518165,0.0661687850952148,1.71206987771678,1.67420473106184,0.422721170281675,0.23837715690842,302.414478783908,298.482285836912,0.986997339007021,80k,20n,10u,0.5n,5,60,70,130,900
18,49.0144365943943,0.699237823486328,5.25233469034839,0.0429868698120117,1.73024613793794,1.42038216186315,0.437744510184773,0.235347189581496,257.436350966853,254.263647835912,0.987675776482125,80k,20n,10u,0.5n,5,50,60,130,900
19,39.0457838229096,0.62420654296875,5.34771847920575,0.0221867561340332,1.74878462534851,1.14074750209249,0.440643037002065,0.218395110774589,208.804111465038,206.648843344888,0.989678037922586,80k,20n,10u,0.5n,5,40,50,130,900
20,29.1249110404995,0.549968719482422,5.40684177384549,0.00858402252197266,1.76802748138306,0.846930554202787,0.447420693169708,0.206842847631391,157.473277633009,156.186828703057,0.991830684232343,80k,20n,10u,0.5n,5,30,40,130,900
21,68.6946417270874,0.80474853515625,5.00981632802662,0.085655689239502,1.87673286716099,1.70543143515843,0.50995010023193,0.318983210892107,344.138474133092,339.656085844534,0.986975044566437,80k,20n,10u,0.5n,5,70,80,140,900
22,58.8092962410075,0.77874755859375,5.14228876470486,0.0654468536376953,1.90630326683941,1.55377835478593,0.465963967673942,0.244562510903193,302.407697593074,298.655220132785,0.987591329552273,80k,20n,10u,0.5n,5,60,70,140,900
23,48.8504159870621,0.722541809082031,5.26219757291944,0.0419373512268066,1.93105310846655,1.32137737638679,0.47726540679999,0.227565184674432,257.056614877413,254.134416924228,0.988632084202237,80k,20n,10u,0.5n,5,50,60,140,900
24,38.9130288481662,0.648628234863281,5.35237848968147,0.0218162536621094,1.94505893255233,1.0624164150438,0.478515334625327,0.206407879466159,208.275528935268,206.412274859428,0.991053898240638,80k,20n,10u,0.5n,5,40,50,140,900
25,29.0041844833617,0.567533493041992,5.40871433925003,0.0083470344543457,1.96091196953416,0.784951899962644,0.491813028853558,0.212020267611585,156.874859427148,155.700242851904,0.992512397591725,80k,20n,10u,0.5n,5,30,40,140,900
26,68.4914021806479,0.855682373046875,5.03083724278427,0.0865030288696289,2.08489162501704,1.59921100211211,0.546269520587334,0.31252058908588,344.559439148993,340.246406096276,0.987482470184623,80k,20n,10u,0.5n,5,70,80,150,900
27,58.6319631211301,0.812385559082031,5.15684371472915,0.0648207664489746,2.10935385097414,1.45342250435005,0.501901577957474,0.239955608688666,302.348981867678,298.748966093454,0.98809317712272,80k,20n,10u,0.5n,5,60,70,150,900
